Country,Currency,Price per Title
Turkey,TRY,0.00043
India,INR,0.00045
Argentina,ARS,0.00079
Colombia,COP,0.00086
Brazil,BRL,0.00093
Ukraine,EUR,0.00106
South Africa,ZAR,0.00109
Hungary,HUF,0.00111
Philippines,PHP,0.00115
United Kingdom,GBP,0.00119
Czech Republic,CZK,0.00121
Peru,PEN,0.00122
Canada,CAD,0.00127
Australia,AUD,0.00128
Slovakia,EUR,0.00128
Mexico,MXN,0.00133
Bulgaria,EUR,0.00133
Ireland,EUR,0.00139
Malaysia,MYR,0.00139
Poland,PLN,0.00140
Lithuania,EUR,0.00140
Estonia,EUR,0.00140
Latvia,EUR,0.00140
Iceland,EUR,0.00141
Chile,CLP,0.00142
Russia,RUB,0.00142
New Zealand,NZD,0.00145
Gibraltar,EUR,0.00146
Singapore,SGD,0.00151
South Korea,KRW,0.00155
Monaco,EUR,0.00156
Germany,EUR,0.00159
Japan,JPY,0.00159
Austria,EUR,0.00160
Ecuador,USD,0.00160
Bolivia,USD,0.00160
Honduras,USD,0.00160
Venezuela,USD,0.00167
Guatemala,USD,0.00168
Netherlands,EUR,0.00168
Thailand,THB,0.00168
Romania,EUR,0.00170
Hong Kong,HKD,0.00170
United States,USD,0.00172
Spain,EUR,0.00173
Paraguay,USD,0.00173
Italy,EUR,0.00174
Portugal,EUR,0.00179
Uruguay,USD,0.00180
Costa Rica,USD,0.00180
Israel,ILS,0.00185
France,EUR,0.00187
Greece,EUR,0.00189
Taiwan,TWD,0.00191
Belgium,EUR,0.00204
Indonesia,IDR,0.00215
Norway,NOK,0.00219
Finland,EUR,0.00223
Moldova,EUR,0.00229
Switzerland,CHF,0.00234
Sweden,SEK,0.00250
Denmark,DKK,0.00263
San Marino,EUR,0.00391
Croatia,EUR,0.00397
Liechtenstein,CHF,0.00423
